Designator,Mid X,Mid Y,Rotation,Layer
1N4001,80.08,-63.62,0.0,bottom
C1,89.03238,-64.325,0.0,bottom
ENC5,112.875,-53.05,90.0,top
J1,84.83,-48.275,90.0,bottom
J2,78.175,-40.875,270.0,bottom
J3,99.475,-40.875,270.0,bottom
R10,97.815,-54.539286,0.0,bottom
R13,97.835,-57.006429,180.0,bottom
R14,97.815,-61.970714,0.0,bottom
R19,97.815,-64.447857,0.0,bottom
R20,97.815,-66.925,0.0,bottom
R4,80.08,-66.395,0.0,bottom
R5,97.835,-59.483571,180.0,bottom
R8,97.815,-49.585,0.0,bottom
R9,97.815,-52.062143,0.0,bottom
SW1,88.825,-41.2625,0.0,bottom
U1,112.70034,-48.2892,0.0,bottom
U2,80.03,-55.84,90.0,bottom
U3,88.83,-43.4,0.0,top
